state,x,y
on,35.14289159185549,36.31121135232123
on,35.13767422007141,36.31100565053606
on,35.13246371806433,36.310940925229794
on,35.12727436745807,36.31101735381
on,35.12212039190193,36.31123472679125
on,35.11701591808467,36.31159244836931
on,35.1119749370142,36.3120895380542
on,35.107011265669264,36.312724633357654
on,35.102138509127975,36.31349599352758
on,35.09737002327732,36.31440150431938
on,35.09271887820556,36.3154386837909
on,35.08819782237805,36.31660468910531
on,35.08381924769454,36.317896324323094
on,35.079595155523904,36.3193100491619
on,35.07553712380916,36.3208419887002
on,35.07165627533317,36.32248794399822
on,35.06796324723185,36.32424340360689
on,35.064468161838526,36.32610355593344
on,35.06118059893932,36.32806330242965
on,35.058109569515636,36.33011727156658
on,35.05526349104564,36.3322598335576
on,35.052650164432606,36.33448511578923
on,35.05027675262312,36.33678701891754
on,35.048149760973985,36.33915923358607
on,35.04627501942146,36.341595257719284
on,35.04465766650183,36.34408841434438
on,35.04330213526703,36.346631869892335
on,35.042212141133945,36.349218652928286
on,35.04139067170074,36.35184167325974
on,35.040839978558026,36.35449374137029
on,35.04056157111743,36.357167588125584
on,35.04055621247439,36.35985588469753
on,35.04082391731659,36.36255126265209
on,35.04136395188364,36.36524633414563
on,35.04217483597835,36.367933712174526
on,35.04325434702377,36.370606030822394
on,35.04459952615517,36.37325596544957
on,35.04620668633004,36.37587625276945
on,35.04807142243406,36.37845971075661
on,35.05018862335519,36.38099925833228
on,35.05255248599286,36.383487934773086
on,35.0551565311639,36.38591891878988
on,35.0579936213615,36.38828554722446
on,35.06105598031862,36.39058133331278
on,35.064335214322234,36.39279998446475
on,35.067822335219866,36.39493541951178
on,35.07150778505553,36.39698178537485
on,35.07538146226739,36.39893347310735
on,35.07943274937547,36.40078513326887
on,35.08365054208341,36.40253169058763
on,35.08802327971457,36.404168357871406
on,35.09253897689905,36.405690649128935
on,35.097185256424744,36.40709439186571
on,35.10194938316244,36.40837573852045
on,35.106818298971895,36.40953117701103
on,35.11177865849331,36.410557540360884
on,35.11681686572602,36.4114520153794
on,35.12191911129422,36.412212150372724
on,35.12707141029745,36.41283586186368
on,35.13225964064226,36.413321440302425
on,35.137469581749926,36.4136675547522
on,35.142686953534,36.41387325653737
on,35.147897455541084,36.41393798184364
on,35.15308680614734,36.41386155326343
on,35.15824078170348,36.41364418028218
on,35.163345255520746,36.41328645870412
on,35.16838623659121,36.41278936901923
on,35.17334990793615,36.41215427371578
on,35.17822266447744,36.41138291354585
on,35.18299115032809,36.410477402754054
on,35.187642295399854,36.40944022328253
on,35.192163351227364,36.40827421796812
on,35.19654192591087,36.40698258275034
on,35.20076601808151,36.40556885791153
on,35.20482404979625,36.40403691837323
on,35.208704898272245,36.40239096307521
on,35.21239792637356,36.40063550346654
on,35.21589301176689,36.39877535113999
on,35.21918057466609,36.396815604643784
on,35.22225160408978,36.39476163550685
on,35.22509768255977,36.39261907351583
on,35.22771100917281,36.390393791284204
on,35.230084420982294,36.38809188815589
on,35.23221141263143,36.385719673487365
on,35.234086154183956,36.38328364935415
on,35.23570350710359,36.380790492729055
on,35.23705903833839,36.3782470371811
on,35.23814903247147,36.375660254145146
on,35.238970501904674,36.37303723381369
on,35.23952119504739,36.37038516570314
on,35.239799602487984,36.36771131894785
on,35.23980496113102,36.3650230223759
on,35.23953725628883,36.36232764442134
on,35.238997221721775,36.3596325729278
on,35.23818633762706,36.356945194898906
on,35.237106826581645,36.35427287625104
on,35.235761647450246,36.35162294162386
on,35.234154487275376,36.34900265430398
on,35.23228975117135,36.34641919631682
on,35.230172550250224,36.34387964874115
on,35.22780868761255,36.341390972300346
on,35.22520464244151,36.33895998828355
on,35.22236755224392,36.33659335984897
on,35.21930519328679,36.33429757376065
on,35.21602595928318,36.33207892260868
on,35.21253883838555,36.32994348756165
on,35.20885338854988,36.327897121698584
on,35.20497971133803,36.32594543396608
on,35.20092842422994,36.32409377380456
on,35.196710631522,36.3223472164858
on,35.192337893890844,36.320710549202026
on,35.187822196706364,36.3191882579445
on,35.18317591718067,36.31778451520772
on,35.17841179044297,36.316503168552984
on,35.17354287463352,36.3153477300624
on,35.16858251511211,36.31432136671255
on,35.16354430787939,36.31342689169403
on,35.158442062311195,36.31266675670071
on,35.15328976330797,36.312043045209755
on,35.14810153296315,36.311557466771006
on,35.14289159185549,36.31121135232123
off,33.83031822476128,36.62728150725228
off,33.79742897113586,36.62696246279534
off,33.764627557248104,36.62682879846934
off,33.73200388949348,36.62688088063889
off,33.69964738707765,36.62711856655039
off,33.66764673692466,36.627541204723286
off,33.636089650592254,36.62814763673572
off,33.60506262386056,36.628936200399686
off,33.57465069965318,36.629904734317
off,33.54493723494048,36.63105058380353
off,33.51600367226385,36.63237060816546
off,33.487929316507454,36.63386118930778
off,33.460791117529,36.635518241651184
off,33.43466345924553,36.637337223330384
off,33.40961795575229,36.639313148643026
off,33.385723255033454,36.641440601715175
off,33.36304485080281,36.64371375134584
off,33.34164490298998,36.64612636698989
off,33.32158206736443,36.648671835835536
off,33.30291133476407,36.65134318092961
off,33.28568388036916,36.654133080300895
off,33.269946923434745,36.65703388702913
off,33.2557435978659,36.660037650204714
off,33.24311283399076,36.66313613672157
off,33.23208925185515,36.66632085384352
off,33.22270306633147,36.66958307248231
off,33.2149800043018,36.672913851123404
